"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-13 21:20:22",1763068822538,"bounty-stage.luccilabs.xyz/api/wallet/link","POST","",-1,"s9xq4-1763068822371-ae88772a7e43","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","preview","next-migration","","lambda","/api/wallet/link","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"iad1",-1,-1,"Error linking wallet: Error [VercelPostgresError]: VercelPostgresError - 'invalid_connection_string': This connection string is meant to be used with a direct connection. Make sure to use a pooled connection string or try `createClient()` instead.
    at bp (.next/server/chunks/725.js:16:5951)
    at Object.apply (.next/server/chunks/725.js:16:6674)
    at Object.create (.next/server/app/api/wallet/link/route.js:41:64)
    at w (.next/server/app/api/wallet/link/route.js:1:1118)
    at async k (.next/server/app/api/wallet/link/route.js:1:3912)
    at async g (.next/server/app/api/wallet/link/route.js:1:4915) {
  code: 'invalid_connection_string'
}","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEGYPNC28S4HQCASWEZRY","",-1
"2025-11-13 21:20:22",1763068822486,"bounty-stage.luccilabs.xyz/api/wallet/link","POST","",500,"s9xq4-1763068822371-ae88772a7e43","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","preview","next-migration","","lambda","/api/wallet/link","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",43,"iad1",135,2048,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEGYPNC28S4HQCASWEZRY","r6aka6Cs5eBa",1
"2025-11-13 21:20:22",1763068822224,"bounty-stage.luccilabs.xyz/api/verify-wallet","POST","",200,"nh8dg-1763068822063-e4e3f656cf2b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","","lambda","/api/verify-wallet","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",100,"iad1",131,2048,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEGPGTNVM2ZX2GZ7TWS6S","r6aka6Cs5eBa",1
"2025-11-13 21:20:20",1763068820010,"bounty-stage.luccilabs.xyz/api/nonce","GET","",200,"rqkvv-1763068819935-deb4e483c959","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","","lambda","/api/nonce","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",335,"iad1",124,2048,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEEHA4EP3YEN7SHQ7Z49Z","r6aka6Cs5eBa",1
"2025-11-13 21:20:17",1763068817846,"bounty-stage.luccilabs.xyz/api/oauth/user","GET","",-1,"z6pbj-1763068817615-8b1fe7332e73","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","","lambda","/api/oauth/user","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"iad1",-1,-1,"GitHub Username: natalie-a-1","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEC8MG0TSN3757DEBH5HW","",-1
"2025-11-13 21:20:17",1763068817845,"bounty-stage.luccilabs.xyz/api/oauth/user","GET","",-1,"z6pbj-1763068817615-8b1fe7332e73","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","","lambda","/api/oauth/user","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"iad1",-1,-1,"GitHub ID: 98536588","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEC8MG0TSN3757DEBH5HW","",-1
"2025-11-13 21:20:17",1763068817845,"bounty-stage.luccilabs.xyz/api/oauth/user","GET","",-1,"z6pbj-1763068817615-8b1fe7332e73","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","","lambda","/api/oauth/user","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"iad1",-1,-1,"ðŸ‘¤ Checking authentication status","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEC8MG0TSN3757DEBH5HW","",-1
"2025-11-13 21:20:17",1763068817684,"bounty-stage.luccilabs.xyz/api/oauth/user","GET","",200,"z6pbj-1763068817615-8b1fe7332e73","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","","lambda","/api/oauth/user","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",157,"iad1",102,2048,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","01K9ZHEC8MG0TSN3757DEBH5HW","r6aka6Cs5eBa",1
"2025-11-13 21:20:17",1763068817063,"bounty-stage.luccilabs.xyz/","OPTIONS","",204,"skbwg-1763068816967-5c4970749636","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","PRERENDER","static","/","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"",-1,-1,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","","",-1
"2025-11-13 21:20:16",1763068816413,"bounty-stage.luccilabs.xyz/link-wallet","GET","",200,"wpj9w-1763068816253-0c7941b97363","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","PRERENDER","static","/link-wallet","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"",-1,-1,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","","",-1
"2025-11-13 21:20:15",1763068815734,"bounty-stage.luccilabs.xyz/","GET","",200,"cqz92-1763068815543-ccc11769ecaf","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","next-migration","PRERENDER","static","/","bounty-stage.luccilabs.xyz","bounty-stage.luccilabs.xyz","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"",-1,-1,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","","",-1
"2025-11-13 21:20:03",1763068803486,"bounty-mlfyh69kt-lucci.vercel.app/link-wallet","GET","",200,"lp54q-1763068803257-50b21da9a2da","vercel-screenshot/1.0","info","preview","next-migration","PRERENDER","static","/link-wallet","bounty-mlfyh69kt-lucci.vercel.app","bounty-mlfyh69kt-lucci.vercel.app","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"",-1,-1,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","","",-1
"2025-11-13 21:20:02",1763068802660,"bounty-mlfyh69kt-lucci.vercel.app/","GET","",200,"r5fjq-1763068802351-3ee22de4a687","vercel-screenshot/1.0","info","preview","next-migration","PRERENDER","static","/","bounty-mlfyh69kt-lucci.vercel.app","bounty-mlfyh69kt-lucci.vercel.app","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"",-1,-1,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","","",-1
"2025-11-13 21:20:02",1763068802658,"bounty-mlfyh69kt-lucci.vercel.app/","GET","",200,"rqdc4-1763068802441-33e3a4e01b13","vercel-screenshot/1.0","info","preview","next-migration","PRERENDER","static","/","bounty-mlfyh69kt-lucci.vercel.app","bounty-mlfyh69kt-lucci.vercel.app","dpl_83uNYFM56rYdzPxz6eBaFina8fxH",-1,"",-1,-1,"","prj_TGCcHUaLYBi5kIZvN08qaBTIFK8O","","","","",-1
